source,target,relationship,followers,platform
sar_tikamunthe,indibiz,comment,2703,instagram
sar_tikamunthe,indibiz,comment,2703,instagram
sar_tikamunthe,indibiz,comment,2703,instagram
gabrian_ndruru,indibiz,comment,1919,instagram
gabrian_ndruru,indibiz,comment,1919,instagram
gabrian_ndruru,indibiz,comment,1919,instagram
gabrian_ndruru,indibiz,comment,1919,instagram
gabrian_ndruru,indibiz,comment,1919,instagram
gabrian_ndruru,indibiz,comment,1919,instagram
gabrian_ndruru,indibiz,comment,1919,instagram
birlycuu,indibiz,comment,50,instagram
birlycuu,indibiz,comment,50,instagram
birlycuu,indibiz,comment,50,instagram
birlycuu,indibiz,comment,50,instagram
xylo_swy4,indibiz,comment,4,instagram
_ernith95,indibiz,comment,1553,instagram
_ernith95,indibiz,comment,1553,instagram
_ernith95,indibiz,comment,1553,instagram
_ernith95,indibiz,comment,1553,instagram
_ernith95,indibiz,comment,1553,instagram
_ernith95,indibiz,comment,1553,instagram
_ernith95,indibiz,comment,1553,instagram
_ernith95,indibiz,comment,1553,instagram
_ernith95,indibiz,comment,1553,instagram
_ernith95,indibiz,comment,1553,instagram
_ernith95,indibiz,comment,1553,instagram
_ernith95,indibiz,comment,1553,instagram
_ernith95,indibiz,comment,1553,instagram
_ernith95,indibiz,comment,1553,instagram
_ernith95,indibiz,comment,1553,instagram
svra_b,indibiz,comment,772,instagram
miss.wulans,indibiz,comment,337,instagram
miss.wulans,indibiz,comment,337,instagram
diptastory,indibiz,comment,116,instagram
nursantilaosmarito,indibiz,comment,49,instagram
nursantilaosmarito,indibiz,comment,49,instagram
nursantilaosmarito,indibiz,comment,49,instagram
indibiz.jatengdiy,indibiz,comment,12498,instagram
rstiaprilly_,indibiz,comment,1628,instagram
idnur_,indibiz,comment,1668,instagram
idnur_,indibiz,comment,1668,instagram
bava_rians16,indibiz,comment,16,instagram
rstiaprilly_,indibiz,comment,1628,instagram
itsme_faa_ndr,indibiz,comment,655,instagram
itsme_faa_ndr,indibiz,comment,655,instagram
itsme_faa_ndr,indibiz,comment,655,instagram
itsme_faa_ndr,indibiz,comment,655,instagram
itsme_faa_ndr,indibiz,comment,655,instagram
itsme_faa_ndr,indibiz,comment,655,instagram
itsme_faa_ndr,indibiz,comment,655,instagram
itsme_faa_ndr,indibiz,comment,655,instagram
itsme_faa_ndr,indibiz,comment,655,instagram
tasyasm98,indibiz,comment,380,instagram
ibunya.akmal21,indibiz,comment,288,instagram
cjdw09,indibiz,comment,166,instagram
ichagrisca12,indibiz,comment,2930,instagram
ichagrisca12,indibiz,comment,2930,instagram
ichagrisca12,indibiz,comment,2930,instagram
mama_grace3,indibiz,comment,277,instagram
mama_grace3,indibiz,comment,277,instagram
mama_grace3,indibiz,comment,277,instagram
mama_grace3,indibiz,comment,277,instagram
mama_grace3,indibiz,comment,277,instagram
mama_grace3,indibiz,comment,277,instagram
cb_garag3,indibiz,comment,34,instagram
zaidin_zaiti,indibiz,comment,52,instagram
indibiz.papua,indibiz,comment,1394,instagram
mama_sasti,indibiz,comment,972,instagram
mama_sasti,indibiz,comment,972,instagram
mama_sasti,indibiz,comment,972,instagram
mama_sasti,indibiz,comment,972,instagram
mama_sasti,indibiz,comment,972,instagram
mama_sasti,indibiz,comment,972,instagram
gracella_ndruru,indibiz,comment,1092,instagram
gracella_ndruru,indibiz,comment,1092,instagram
gracella_ndruru,indibiz,comment,1092,instagram
gracella_ndruru,indibiz,comment,1092,instagram
gracella_ndruru,indibiz,comment,1092,instagram
gracella_ndruru,indibiz,comment,1092,instagram
gracella_ndruru,indibiz,comment,1092,instagram
m_ilhamanugerah,indibiz,comment,3140,instagram
damayliade,indibiz,comment,1414,instagram
natali4rose,indibiz,comment,1162,instagram
jamaluddin_hy91,indibiz,comment,1042,instagram
ibunya_nadine,indibiz,comment,1030,instagram
ibunya_nadine,indibiz,comment,1030,instagram
ibunya_nadine,indibiz,comment,1030,instagram
ibunya_nadine,indibiz,comment,1030,instagram
ibunya_nadine,indibiz,comment,1030,instagram
ibunya_nadine,indibiz,comment,1030,instagram
ibunya_nadine,indibiz,comment,1030,instagram
dian_boru_hulu,indibiz,comment,802,instagram
dian_boru_hulu,indibiz,comment,802,instagram
dian_boru_hulu,indibiz,comment,802,instagram
dian_boru_hulu,indibiz,comment,802,instagram
dian_boru_hulu,indibiz,comment,802,instagram
dian_boru_hulu,indibiz,comment,802,instagram
dian_boru_hulu,indibiz,comment,802,instagram
hartartanto8,indibiz,comment,106,instagram
diman_hulu,indibiz,comment,1585,instagram
diman_hulu,indibiz,comment,1585,instagram
diman_hulu,indibiz,comment,1585,instagram
diman_hulu,indibiz,comment,1585,instagram
diman_hulu,indibiz,comment,1585,instagram
diman_hulu,indibiz,comment,1585,instagram
