rank,username,followers,platform,layanan,degree_centrality,betweenness_centrality,in_degree,out_degree,pagerank,sentiment
195,revadewanty,0,twitter,Telkomsel,0.0004716195971813793,2.0373838257733388e-05,5,12,0.00010080354215934941,negative
196,bankmegaid,0,twitter,Telkomsel,0.0002774232924596349,3.0560757386600084e-05,7,3,0.00010074408372024093,neutral
197,staekidss,0,unknown,Telkomsel,0.00022193863396770792,0.0,8,0,0.00010050040435040127,neutral
198,cloverviel,0,twitter,Telkomsel,0.00016645397547578093,2.0373838257733388e-05,3,3,0.00010027609183481692,negative
199,kanapeacjh,0,twitter,Telkomsel,0.00016645397547578093,0.0,3,3,0.00010027609183481692,negative
200,widihkidiw,0,twitter,Telkomsel,0.00013871164622981745,0.0,3,2,0.00010027609183481692,negative
201,moviemnfs,0,unknown,Telkomsel,0.00013871164622981745,0.0,5,0,9.985264493015281e-05,neutral
202,risangcandrasa,0,twitter,Telkomsel,0.00033290795095156187,3.0560757386600084e-05,9,3,9.934922559435475e-05,neutral
203,teubeeee,0,unknown,Telkomsel,0.00019419630472174444,0.0,7,0,9.84891639772192e-05,neutral
204,eventfa1,0,twitter,Telkomsel,0.00036065028019752535,2.0373838257733388e-05,7,6,9.83047063959725e-05,negative
205,detikcom,0,unknown,Telkomsel,0.0004716195971813793,0.0,17,0,9.77841319919857e-05,neutral
206,gundala2221,0,twitter,Telkomsel,0.0009154968651167952,0.0,20,13,9.775503978410497e-05,negative
207,lantip,0,unknown,Telkomsel,0.00036065028019752535,0.0,13,0,9.744165371122155e-05,neutral
208,mrongdedy,0,twitter,Telkomsel,0.0003051656217055984,2.0373838257733388e-05,8,3,9.733073199652945e-05,negative
209,surangga24,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,9.685585018073443e-05,neutral
210,pt_transjakarta,0,twitter,Telkomsel,0.0007213005603950507,0.0003259814121237342,10,16,9.632322311531737e-05,neutral
211,lapakkangle,0,twitter,Telkomsel,8.322698773789047e-05,2.0373838257733388e-05,2,1,9.599134257941321e-05,neutral
212,moondripie,0,twitter,Telkomsel,8.322698773789047e-05,2.0373838257733388e-05,2,1,9.599134257941321e-05,negative
213,muhammadenaufal,0,twitter,Telkomsel,0.00011096931698385396,0.0,2,2,9.592044022677816e-05,neutral
214,__eisquosamo__,0,twitter,Telkomsel,5.548465849192698e-05,0.0,1,1,9.519495555186713e-05,neutral
215,asakuracjo,0,twitter,Telkomsel,5.548465849192698e-05,0.0,1,1,9.519495555186713e-05,negative
216,eighxtyone,0,twitter,Telkomsel,5.548465849192698e-05,0.0,1,1,9.519495555186713e-05,negative
217,farizkiriku,0,twitter,Telkomsel,5.548465849192698e-05,0.0,1,1,9.519495555186713e-05,neutral
218,tzurunai,0,twitter,Telkomsel,5.548465849192698e-05,0.0,1,1,9.519495555186713e-05,negative
219,kactchaw,0,twitter,Telkomsel,5.548465849192698e-05,0.0,1,1,9.519495555186713e-05,negative
220,jerkdumbass,0,twitter,Telkomsel,5.548465849192698e-05,0.0,1,1,9.519495555186713e-05,negative
221,wooszs,0,twitter,Telkomsel,5.548465849192698e-05,0.0,1,1,9.519495555186713e-05,negative
222,peddatingtata,0,twitter,Telkomsel,5.548465849192698e-05,0.0,1,1,9.519495555186713e-05,negative
223,shortofespresso,0,twitter,Telkomsel,5.548465849192698e-05,0.0,1,1,9.519495555186713e-05,neutral
224,zzsecretra,0,twitter,Telkomsel,5.548465849192698e-05,0.0,1,1,9.519495555186713e-05,positive
225,digilandid,55723,instagram,Telkomsel,0.00013871164622981745,0.0,4,1,9.454048446874259e-05,neutral
226,joyimiese,0,twitter,Telkomsel,0.0003051656217055984,4.0747676515466776e-05,6,5,9.333823074447972e-05,negative
227,anneivest,0,twitter,Telkomsel,0.00016645397547578093,0.0,4,2,9.305810395058213e-05,neutral
228,jjaejpg,0,twitter,Telkomsel,0.00019419630472174444,2.0373838257733388e-05,4,3,9.302914249774333e-05,negative
229,petirbongs,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,9.277719293890735e-05,neutral
230,draftanakunpad4,0,unknown,Telkomsel,0.00011096931698385396,0.0,4,0,9.221689935339285e-05,neutral
231,anarcho_merah,0,twitter,Telkomsel,0.0005825889141652333,3.092199565358117e-05,6,15,9.13246235425453e-05,negative
232,pinkdumpiee,0,twitter,Telkomsel,8.322698773789047e-05,0.0,2,1,9.054776881062249e-05,neutral
233,indihomejtd,0,twitter,Telkomsel,0.00033290795095156187,0.0,11,1,9.044465545409023e-05,neutral
