source,target,relationship,followers,platform,layanan,sentiment
28rabbit_,telkomsel,mention,0,twitter,Telkomsel,negative
290ea94777e747c,ciaringe,mention,0,twitter,Telkomsel,negative
290ea94777e747c,telkomsel,mention,0,twitter,Telkomsel,negative
2d_girlsenthu,telkomsel,mention,0,twitter,Telkomsel,negative
2dekaden,telkomsel,mention,0,twitter,Telkomsel,neutral
2komaini_ahmad4,elonmusk,mention,0,twitter,Telkomsel,neutral
2komaini_ahmad4,pertamina,mention,0,twitter,Telkomsel,neutral
2komaini_ahmad4,pln_123,mention,0,twitter,Telkomsel,neutral
2komaini_ahmad4,selebtwitmobil,retweet,0,twitter,Telkomsel,neutral
2komaini_ahmad4,starlink,mention,0,twitter,Telkomsel,neutral
2komaini_ahmad4,telkomindonesia,mention,0,twitter,Telkomsel,neutral
2komaini_ahmad4,telkomsel,mention,0,twitter,Telkomsel,neutral
2lastsummer4,careim3,mention,0,twitter,Telkomsel,neutral
2lastsummer4,ranggawsh1,mention,0,twitter,Telkomsel,neutral
2pie4u,telkomsel,mention,0,twitter,Telkomsel,negative
2riari3,elonmusk,mention,0,twitter,Telkomsel,neutral
2riari3,pertamina,mention,0,twitter,Telkomsel,neutral
2riari3,pln_123,mention,0,twitter,Telkomsel,neutral
2riari3,selebtwitmobil,retweet,0,twitter,Telkomsel,neutral
2riari3,starlink,mention,0,twitter,Telkomsel,neutral
2riari3,telkomindonesia,mention,0,twitter,Telkomsel,neutral
2riari3,telkomsel,mention,0,twitter,Telkomsel,neutral
2times_a,narukeane,mention,0,twitter,Telkomsel,neutral
2times_a,telkomsel,mention,0,twitter,Telkomsel,neutral
3012file,telkomsel,mention,0,twitter,Telkomsel,neutral
30zto,telkomsel,mention,0,twitter,Telkomsel,neutral
3103dumppp,gibran_tweet,mention,0,twitter,Telkomsel,negative
3103dumppp,onelove4human,retweet,0,twitter,Telkomsel,negative
3103dumppp,prabowo,mention,0,twitter,Telkomsel,negative
3103dumppp,telkomsel,mention,0,twitter,Telkomsel,negative
33maiavstpn,berburusales,mention,0,twitter,Telkomsel,neutral
365unit,elonmusk,mention,0,twitter,Telkomsel,neutral
365unit,pertamina,mention,0,twitter,Telkomsel,neutral
365unit,pln_123,mention,0,twitter,Telkomsel,neutral
365unit,selebtwitmobil,mention,0,twitter,Telkomsel,neutral
365unit,starlink,mention,0,twitter,Telkomsel,neutral
365unit,telkomindonesia,mention,0,twitter,Telkomsel,neutral
365unit,telkomsel,mention,0,twitter,Telkomsel,neutral
369fas,namanyamanusia0,retweet,0,twitter,Telkomsel,negative
369fas,telkomsel,mention,0,twitter,Telkomsel,negative
377739backup,mandarinfess,retweet,0,twitter,Telkomsel,positive
378_bobotoh,telkomsel,mention,0,twitter,Telkomsel,neutral
39shoesizeclub,crissbahari,mention,0,twitter,Telkomsel,neutral
39shoesizeclub,qrivasi,mention,0,twitter,Telkomsel,neutral
3_soree,telkomsel,mention,0,twitter,Telkomsel,neutral
3a3rw1,kangmanto123,mention,0,twitter,Telkomsel,negative
3careindonesia,telkomsel,mention,0,twitter,Telkomsel,neutral
3careindonesia,xcloveria,mention,0,twitter,Telkomsel,neutral
3dota,gibran_tweet,mention,0,twitter,Telkomsel,negative
3dota,infomalang,mention,0,twitter,Telkomsel,negative
3dota,ojhansausan,mention,0,twitter,Telkomsel,neutral
3dota,onelove4human,mention,0,twitter,Telkomsel,negative
3dota,prabowo,mention,0,twitter,Telkomsel,negative
3dota,telkomsel,mention,0,twitter,Telkomsel,negative
3dota,yusufgunawan,mention,0,twitter,Telkomsel,negative
3fe9a281d345418,telkomsel,mention,0,twitter,Telkomsel,negative
3inces,masked_guy_001,mention,0,twitter,Telkomsel,negative
3inces,telkomsel,mention,0,twitter,Telkomsel,negative
3indomiekrg,telkomsel,mention,0,twitter,Telkomsel,neutral
3januari,telkomsel,mention,0,twitter,Telkomsel,negative
3liliii_,mytelkomselapp,mention,0,twitter,Telkomsel,neutral
3liliii_,telkomsel,mention,0,twitter,Telkomsel,negative
3mpty0o0,elonmusk,mention,0,twitter,Telkomsel,neutral
3mpty0o0,pertamina,mention,0,twitter,Telkomsel,neutral
3mpty0o0,pln_123,mention,0,twitter,Telkomsel,neutral
3mpty0o0,selebtwitmobil,retweet,0,twitter,Telkomsel,neutral
3mpty0o0,starlink,mention,0,twitter,Telkomsel,neutral
3mpty0o0,telkomindonesia,mention,0,twitter,Telkomsel,neutral
3mpty0o0,telkomsel,mention,0,twitter,Telkomsel,neutral
3pilarku,telkomsel,mention,0,twitter,Telkomsel,negative
3reflian_fam,ismedbadjeber,mention,0,twitter,Telkomsel,negative
3reflian_fam,telkomsel,mention,0,twitter,Telkomsel,neutral
3vreux,telkomsel,mention,0,twitter,Telkomsel,negative
3vreux,trashpeople14,mention,0,twitter,Telkomsel,negative
404_twtnotfound,qrivasi,mention,0,twitter,Telkomsel,negative
41styjhkinnie,triindonesia,mention,0,twitter,Telkomsel,negative
4224manwar82,indihomecare,mention,0,twitter,Telkomsel,neutral
4224manwar82,telkomsel,mention,0,twitter,Telkomsel,neutral
4224manwar82,tiefnez,mention,0,twitter,Telkomsel,negative
4348dwi,careim3,mention,0,twitter,Telkomsel,neutral
4348dwi,qrivasi,mention,0,twitter,Telkomsel,neutral
4348dwi,telkomsel,mention,0,twitter,Telkomsel,neutral
435raindra,morecaffeins,mention,0,twitter,Telkomsel,neutral
435raindra,nyawdira,mention,0,twitter,Telkomsel,neutral
444soundless,elonmusk,mention,0,twitter,Telkomsel,neutral
444soundless,pertamina,mention,0,twitter,Telkomsel,neutral
444soundless,pln_123,mention,0,twitter,Telkomsel,neutral
444soundless,selebtwitmobil,retweet,0,twitter,Telkomsel,neutral
444soundless,starlink,mention,0,twitter,Telkomsel,neutral
444soundless,telkomindonesia,mention,0,twitter,Telkomsel,neutral
444soundless,telkomsel,mention,0,twitter,Telkomsel,neutral
44rlert,telkomsel,mention,0,twitter,Telkomsel,negative
45l0n645,baummustholahul,mention,0,twitter,Telkomsel,negative
46_eugene_ryuu,telkomsel,mention,0,twitter,Telkomsel,negative
46_eugene_ryuu,tradingdiary2,mention,0,twitter,Telkomsel,negative
46fdl_m,telkomsel,mention,0,twitter,Telkomsel,neutral
4951pembaca,baummustholahul,mention,0,twitter,Telkomsel,neutral
4951pembaca,cilarieru,mention,0,twitter,Telkomsel,neutral
4951pembaca,tanyakanrl,mention,0,twitter,Telkomsel,negative
4951pembaca,telkomsel,mention,0,twitter,Telkomsel,negative
495png,telkomsel,mention,0,twitter,Telkomsel,negative
4b_d5,telkomsel,mention,0,twitter,Telkomsel,neutral
4d_h1m,elonmusk,mention,0,twitter,Telkomsel,neutral
4d_h1m,pertamina,mention,0,twitter,Telkomsel,neutral
4d_h1m,pln_123,mention,0,twitter,Telkomsel,neutral
4d_h1m,selebtwitmobil,retweet,0,twitter,Telkomsel,neutral
4d_h1m,starlink,mention,0,twitter,Telkomsel,neutral
4d_h1m,telkomindonesia,mention,0,twitter,Telkomsel,neutral
4d_h1m,telkomsel,mention,0,twitter,Telkomsel,neutral
4dumbtalk,dewriel,mention,0,twitter,Telkomsel,neutral
4dumbtalk,telkomsel,mention,0,twitter,Telkomsel,neutral
4dumbtalk,tfkbgr,mention,0,twitter,Telkomsel,neutral
4ermk_s,gatcoer,mention,0,twitter,Telkomsel,negative
4ermk_s,ssleepknot,mention,0,twitter,Telkomsel,neutral
