rank,username,followers,degree_centrality,in_degree,out_degree,is_brand
305,rayhan_nj,0,0.00014634431891353978,0,5,False
306,tino_sutris,0,0.00014634431891353978,0,5,False
307,17titan,0,0.00014634431891353978,0,5,False
308,amirinhega,0,0.00014634431891353978,0,5,False
309,braryonata_,0,0.00014634431891353978,0,5,False
310,your_wifebtsvt,0,0.00014634431891353978,0,5,False
311,haical_01,0,0.00014634431891353978,0,5,False
312,patjokoo,0,0.00014634431891353978,0,5,False
313,secondbest67,0,0.00014634431891353978,0,5,False
314,mfzalfajri,0,0.00014634431891353978,0,5,False
315,donny2etrost,0,0.00014634431891353978,0,5,False
316,portgasdace012,0,0.00014634431891353978,0,5,False
317,anubeis,0,0.00014634431891353978,0,5,False
318,rzbk369,0,0.00014634431891353978,0,5,False
319,amihdyt,0,0.00014634431891353978,0,5,False
320,adhitantyaksm,0,0.00014634431891353978,0,5,False
321,dairydaymee,0,0.00014634431891353978,0,5,False
322,politikwaras,0,0.00014634431891353978,0,5,False
323,saoshotchilii,0,0.00014634431891353978,0,5,False
324,kaime2u,0,0.00014634431891353978,0,5,False
325,dymondzx_,0,0.00014634431891353978,0,5,False
326,dwellerhills,0,0.00014634431891353978,0,5,False
327,akbar_amin,0,0.00014634431891353978,0,5,False
328,gu_staiz,0,0.00014634431891353978,0,5,False
329,bunganya2,0,0.00014634431891353978,0,5,False
330,sinarcahaya84,0,0.00014634431891353978,0,5,False
331,xmunji42041,0,0.00014634431891353978,0,5,False
332,morthekid,0,0.00014634431891353978,0,5,False
333,ilhamchp,0,0.00014634431891353978,0,5,False
334,tabisabacatulis,0,0.00014634431891353978,0,5,False
335,faykuroda,0,0.00014634431891353978,0,5,False
336,baggygenee,0,0.00014634431891353978,0,5,False
337,pak_erte92,0,0.00014634431891353978,0,5,False
338,ophie1211,0,0.00014634431891353978,0,5,False
339,ourigl,0,0.00014634431891353978,0,5,False
340,ack3rmnn,0,0.00014634431891353978,0,5,False
341,yoursyno_,0,0.00014634431891353978,0,5,False
342,ahmad_bellamy,0,0.00014634431891353978,0,5,False
343,mulanbilqis,0,0.00014634431891353978,0,5,False
344,skyyycloudd,0,0.00014634431891353978,0,5,False
345,qiiqaa,0,0.00014634431891353978,0,5,False
346,sgringc4ndy,0,0.00014634431891353978,0,5,False
347,ecaaswtss,0,0.00014634431891353978,0,5,False
348,queenypupy,0,0.00014634431891353978,0,5,False
349,ddiigr,0,0.00014634431891353978,0,5,False
350,1_11v1f4,0,0.00014634431891353978,0,5,False
351,lisapras171909,0,0.00014634431891353978,0,5,False
352,agcrisbp,0,0.00014634431891353978,0,5,False
353,cakdarry,0,0.00014634431891353978,0,5,False
354,_seokjinnnn,0,0.00014634431891353978,0,5,False
355,fasrori7,0,0.00014634431891353978,0,5,False
356,starlleshrin,0,0.00014634431891353978,0,5,False
357,bapakenduk12,0,0.00014634431891353978,0,5,False
358,azullannd24,0,0.00014634431891353978,0,5,False
359,cemilcemul16817,0,0.00014634431891353978,0,5,False
