source,target,relationship,followers,platform
zaynidpp,@indihome,mention,0,twitter
indihome,@luckymancool007,mention,0,twitter
indihome,@catatan_ali7,mention,0,twitter
indihome,@clearbyngsol_,mention,0,twitter
indihome,@messengerofdude,mention,0,twitter
moonphrodite,@indihome,mention,0,twitter
mauumakan_,@indihome,mention,0,twitter
mauumakan_,@indihomecare,mention,0,twitter
inaauliaaft,@indihome,mention,0,twitter
funisika,@indihome,mention,0,twitter
fikamshi,@justbrownnn,mention,0,twitter
theontohod,@masss_indihome,mention,0,twitter
theontohod,@itbluecorner,mention,0,twitter
theontohod,@lingkar_jakarta,mention,0,twitter
indihome,@melodymemorie,mention,0,twitter
raget009,@indihome,mention,0,twitter
indihome,@xiixiixixiixii,mention,0,twitter
riapratiwip,@indihome,mention,0,twitter
aku_unko,@telkomsel,mention,0,twitter
indihome,@bertabahkayl,mention,0,twitter
yamazaa00,@talanukara,mention,0,twitter
enzywey,@indihome,mention,0,twitter
xiixiixixiixii,@indihome,mention,0,twitter
bitlensama,@talonxbt,mention,0,twitter
bitlensama,@prabowo,mention,0,twitter
bitlensama,@gibran_tweet,mention,0,twitter
bitlensama,@starlink,mention,0,twitter
bitlensama,@indihome,mention,0,twitter
zanethyst,@indihome,mention,0,twitter
amidstthera1n,@zemnam,mention,0,twitter
01kfrizzly,@wisdom_hq,mention,0,twitter
santuysboys,@masss_indihome,mention,0,twitter
santuysboys,@fahrezaebol,mention,0,twitter
santuysboys,@indosfc,mention,0,twitter
indihome,@retaypram,mention,0,twitter
salsabilla98996,@indihome,mention,0,twitter
salsabilla98996,@telkomjabar,mention,0,twitter
lumwmw,@indihome,mention,0,twitter
pluviophile___1,@indihome,mention,0,twitter
fullofsexiness,@indihome,mention,0,twitter
indihome,@fullofsexiness,mention,0,twitter
indihome,@ingelstelungs,mention,0,twitter
febybdn,@pinkswaan,mention,0,twitter
ingelstelungs,@indihome,mention,0,twitter
dprihati06,@candrabuhori,mention,0,twitter
dprihati06,@gnfi,mention,0,twitter
ardonnurdin,@indihome,mention,0,twitter
ardonnurdin,@indihomecare,mention,0,twitter
indihome,@humaiidi,mention,0,twitter
kfcias,@indihome,mention,0,twitter
indihome,@__yyaya__,mention,0,twitter
